청주상당구,청주서원구,청주흥덕구,청주청원구,충주시,제천시,보은군,옥천군,영동군,증평군,진천군,괴산군,음성군,단양군
88.1,86.2,81.5,87.4,83.6,82.7,,76.6,78.1,79.6,83,,78.1,
89,89.4,80.6,84.3,83.5,79.6,,80,74.8,76.7,84.8,,79.3,
89.7,88.9,81.6,86.6,84.3,86.4,,81.5,77.6,82,81.4,,71.8,
85.8,86.8,81.2,85.4,85.3,85.3,,78.8,,86.8,79.5,,76,
85,86.2,82,84,87.8,86.7,,93.2,,86.9,76.9,,79.6,
83.4,85.4,83.3,82.4,86.4,89.7,,77.5,78.5,93.5,78.2,,73.3,
81.4,85,79,81.2,83.2,88,,77.3,75.5,84.2,79.8,,72.4,
80.2,83.7,75.9,80.3,80.1,83.7,,78.2,67.5,76.7,80.9,,72.5,
79.8,84.1,75.6,79.9,78.2,80.1,,74.2,76,72.6,74.9,,73.8,
80.4,83.7,76.9,80.1,79.1,77.3,,75.2,,75.4,71.8,,74.9,78.4
